序號,是否離職,年齡,性別,婚姻狀態,是否有大學學歷,是否有碩士學歷,是否有博士學歷,最高學歷學校等級,外部經歷總公司數,外部經歷總年資,集團年資,公司年資,一級主管序號,是否為主管,廣義管理幅度,狹義管理幅度,職位層級,是否為STEM人才,是否有兼職,距上次升遷時長,單位,單位層級,單位_第一層,單位_第二層,單位_第三層,個性分群,職能強項,職能弱項,職能驚喜,職能盲點,績效,是否為關鍵人才
1,0,71,男性,已婚,YES,NO,YES,其他,0,0,46.79931507,6.702283105,,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0300,科,04C0000,04C0300,,,,,,,,
3,0,45,男性,已婚,,,,,0,0,10.52739726,9.680365297,1547,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0200,科,04C0000,04C0200,,,,,,,,
5,1,43,女性,已婚,YES,YES,NO,一級,5,18.27009132,3.355251142,3.355251142,1546,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0200,科,04C0000,04C0200,,,,,,,,
16,0,65,男性,已婚,YES,NO,NO,二級,0,0,40.993379,11.39360731,384,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2600,科,0DC0000,0DC2000,0DC2600,樂觀關係型,,,,,,
19,1,64,男性,已婚,YES,NO,NO,一級,0,0,38.47968037,0.998858447,,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2600,科,0DC0000,0DC2000,0DC2600,保守穩定型,,,,,,
27,0,59,男性,未婚,NO,NO,NO,其他,0,0,33.79931507,19.6326484,1529,FALSE,0,0,一般專業人員,FALSE,FALSE,0.3,03C2100,科,03C0000,03C2000,03C2100,保守穩定型,,,,,,
28,0,52,女性,未婚,NO,NO,NO,其他,0,0,34.08219178,10.79931507,1530,FALSE,0,0,資深專業人員,FALSE,TRUE,0,03C2100,科,03C0000,03C2000,03C2100,,促進團隊成功,,學習力,,5.8,TRUE
37,0,29,女性,,YES,NO,NO,二級,2,4,1.893607306,1.788356164,188,FALSE,0,0,一般專業人員,TRUE,FALSE,,03C2300,科,03C0000,03C2000,03C2300,保守穩定型,,,,,,
39,0,63,男性,已婚,YES,NO,NO,其他,2,4.156164384,35.47968037,3.071232877,,FALSE,0,0,一般專業人員,TRUE,FALSE,,03C2300,科,03C0000,03C2000,03C2300,正向領導型,,,,,,
45,0,62,女性,已婚,YES,NO,NO,其他,0,0,29.31575342,14.32671233,39,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2100,科,03C0000,03C2000,03C2100,,,,促進團隊成功,,3.6,FALSE
46,0,54,女性,已婚,YES,NO,NO,一級,0,0,24.85251142,10.57671233,45,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2300,科,03C0000,03C2000,03C2300,正向領導型,,,,,,
49,0,28,女性,,YES,YES,NO,一級,0,0,2.743378995,1.938584475,1539,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2500,科,03C0000,03C2000,03C2500,外向開放型,,,,,,
